plot,treatment,date,interval,exp_week,gr_mass
135,winter,2000-04-01,2,40,0.64
135,winter,2000-04-27,3,44,0.727
135,winter,2000-05-15,4,46,0.855
135,winter,2000-06-08,5,50,0.989
135,winter,2000-06-29,6,53,0.885
135,winter,2000-07-17,7,55,0.912
135,winter,2000-08-05,8,58,0.808
135,winter,2000-09-23,10,65,0.744
135,winter,2000-10-14,11,68,0.634
135,winter,2000-11-06,12,71,0.535
135,winter,2000-12-04,13,75,0.452
137,winter,2000-02-29,1,35,0.596
137,winter,2000-04-01,2,40,0.622
137,winter,2000-04-27,3,44,0.965
137,winter,2000-05-15,4,46,0.804
137,winter,2000-06-08,5,50,0.882
137,winter,2000-06-29,6,53,0.883
137,winter,2000-07-17,7,55,0.852
137,winter,2000-08-05,8,58,0.729
137,winter,2000-09-23,10,65,0.695
137,winter,2000-10-14,11,68,0.64
137,winter,2000-11-06,12,71,0.478
137,winter,2000-12-04,13,75,0.469
139,winter,2000-02-29,1,35,0.588
139,winter,2000-04-01,2,40,0.639
139,winter,2000-04-27,3,44,0.666
139,winter,2000-05-15,4,46,0.849
139,winter,2000-06-08,5,50,0.86
139,winter,2000-06-29,6,53,0.872
139,winter,2000-07-17,7,55,0.838
139,winter,2000-08-05,8,58,0.74
139,winter,2000-09-23,10,65,0.709
139,winter,2000-10-14,11,68,0.598
139,winter,2000-11-06,12,71,0.467
139,winter,2000-12-04,13,75,0.439
