plot,treatment,date,interval,exp_week,gr_length
133,winter,2000-04-01,2,40,2.357
133,winter,2000-04-27,3,44,1.995
133,winter,2000-05-15,4,46,2.99
133,winter,2000-06-08,5,50,2.82
133,winter,2000-06-29,6,53,2.63
133,winter,2000-07-17,7,55,3.44
133,winter,2000-08-05,8,58,3.08
133,winter,2000-09-23,10,65,3.09
133,winter,2000-10-14,11,68,2.55
133,winter,2000-11-06,12,71,2.25
133,winter,2000-12-04,13,75,1.93
135,winter,2000-02-29,1,35,2.151
135,winter,2000-04-01,2,40,2.227
135,winter,2000-04-27,3,44,2.002
135,winter,2000-05-15,4,46,2.76
135,winter,2000-06-08,5,50,3.21
135,winter,2000-06-29,6,53,2.38
135,winter,2000-07-17,7,55,3.26
135,winter,2000-08-05,8,58,3.03
135,winter,2000-09-23,10,65,3.04
135,winter,2000-10-14,11,68,2.99
135,winter,2000-11-06,12,71,2.39
135,winter,2000-12-04,13,75,1.81
137,winter,2000-02-29,1,35,2.02
137,winter,2000-04-01,2,40,1.531
137,winter,2000-04-27,3,44,3.28
137,winter,2000-05-15,4,46,2.73
137,winter,2000-06-08,5,50,2.69
137,winter,2000-06-29,6,53,3.26
137,winter,2000-07-17,7,55,2.96
137,winter,2000-08-05,8,58,2.81
137,winter,2000-09-23,10,65,2.84
137,winter,2000-10-14,11,68,2.44
137,winter,2000-11-06,12,71,2.03
137,winter,2000-12-04,13,75,1.5
139,winter,2000-02-29,1,35,2.087
139,winter,2000-04-01,2,40,1.844
139,winter,2000-04-27,3,44,2.671
139,winter,2000-05-15,4,46,2.83
139,winter,2000-06-08,5,50,3.1
139,winter,2000-06-29,6,53,2.14
139,winter,2000-07-17,7,55,3.36
139,winter,2000-08-05,8,58,2.66
139,winter,2000-09-23,10,65,2.87
139,winter,2000-10-14,11,68,2.23
139,winter,2000-11-06,12,71,1.95
139,winter,2000-12-04,13,75,1.69
